id_operador,numero_empleado,nombre,apellido,licencia,tipo_licencia,fecha_ingreso,telefono,correo,entregas_realizadas,entregas_tardias,porcentaje_puntualidad,kilometros_recorridos,estatus
1,OP-001,Ana,Sánchez,LIC-10001,C,2022-11-25,7227668663,operador1@logistol.com,103,23,77.67,27349.81,Activo
2,OP-002,José,García,LIC-10002,C,2025-10-12,7229952696,operador2@logistol.com,82,23,71.95,23399.2,Activo
3,OP-003,Jorge,Pérez,LIC-10003,E,2025-01-11,7229186400,operador3@logistol.com,88,23,73.86,26965.12,Activo
4,OP-004,Paola,Ramírez,LIC-10004,B,2024-06-18,7222147909,operador4@logistol.com,79,26,67.09,25224.49,Activo
5,OP-005,Sofía,Flores,LIC-10005,E,2022-08-12,7224816586,operador5@logistol.com,73,19,73.97,17963.31,Activo
6,OP-006,Laura,García,LIC-10006,C,2021-07-21,7222686231,operador6@logistol.com,90,27,70.0,23425.43,Activo
7,OP-007,Fernanda,Martínez,LIC-10007,E,2022-09-06,7221485654,operador7@logistol.com,76,20,73.68,20518.32,Activo
8,OP-008,Carlos,Pérez,LIC-10008,B,2022-08-24,7227014016,operador8@logistol.com,79,22,72.15,22565.77,Activo
9,OP-009,María,Rodríguez,LIC-10009,B,2022-05-16,7229911492,operador9@logistol.com,96,29,69.79,25507.41,Activo
10,OP-010,Jorge,Torres,LIC-10010,E,2025-06-12,7224020853,operador10@logistol.com,79,23,70.89,20521.73,Activo
11,OP-011,Luis,Martínez,LIC-10011,B,2024-06-02,7227418028,operador11@logistol.com,75,22,70.67,20786.99,Activo
12,OP-012,Andrea,Flores,LIC-10012,B,2023-10-17,7223401116,operador12@logistol.com,86,31,63.95,24252.15,Activo
13,OP-013,Sofía,Sánchez,LIC-10013,E,2022-06-05,7228710313,operador13@logistol.com,82,20,75.61,20109.38,Activo
14,OP-014,Daniel,Flores,LIC-10014,B,2025-07-06,7228805654,operador14@logistol.com,95,24,74.74,27034.28,Activo
15,OP-015,Diego,González,LIC-10015,E,2024-01-25,7223650391,operador15@logistol.com,78,22,71.79,20467.67,Activo
16,OP-016,Ana,Sánchez,LIC-10016,C,2024-04-18,7226018975,operador16@logistol.com,74,16,78.38,20912.13,Activo
17,OP-017,José,Rodríguez,LIC-10017,E,2022-05-28,7228664433,operador17@logistol.com,82,28,65.85,22348.02,Activo
18,OP-018,Paola,González,LIC-10018,B,2023-02-27,7229106886,operador18@logistol.com,89,32,64.04,23820.16,Activo
19,OP-019,Ana,López,LIC-10019,C,2024-03-17,7227022335,operador19@logistol.com,94,24,74.47,26646.84,Activo
20,OP-020,Andrea,González,LIC-10020,E,2022-08-28,7221368085,operador20@logistol.com,73,23,68.49,20232.46,Activo
21,OP-021,Paola,Flores,LIC-10021,C,2022-07-17,7221135861,operador21@logistol.com,81,27,66.67,21205.75,Activo
22,OP-022,Andrea,Cruz,LIC-10022,E,2025-05-13,7221822825,operador22@logistol.com,81,24,70.37,22034.63,Activo
23,OP-023,Diego,Torres,LIC-10023,E,2023-10-15,7225801541,operador23@logistol.com,81,21,74.07,21628.18,Activo
24,OP-024,Ricardo,Morales,LIC-10024,B,2024-05-28,7226910964,operador24@logistol.com,79,29,63.29,22981.22,Activo
25,OP-025,Sofía,Flores,LIC-10025,B,2024-06-25,7225204819,operador25@logistol.com,90,33,63.33,24415.57,Activo
26,OP-026,José,Morales,LIC-10026,E,2025-04-21,7223294774,operador26@logistol.com,79,27,65.82,22098.67,Activo
27,OP-027,José,García,LIC-10027,E,2024-08-16,7221661401,operador27@logistol.com,89,29,67.42,27016.12,Activo
28,OP-028,Daniel,Morales,LIC-10028,C,2021-03-10,7227121355,operador28@logistol.com,85,21,75.29,21148.19,Activo
29,OP-029,Laura,Martínez,LIC-10029,B,2022-08-28,7226481437,operador29@logistol.com,90,25,72.22,25948.87,Activo
30,OP-030,Laura,Rodríguez,LIC-10030,B,2022-02-16,7223217273,operador30@logistol.com,78,29,62.82,20878.01,Activo
31,OP-031,Ricardo,Ramírez,LIC-10031,C,2023-12-24,7229418719,operador31@logistol.com,82,32,60.98,23419.8,Activo
32,OP-032,Diego,González,LIC-10032,B,2022-06-11,7229084065,operador32@logistol.com,70,23,67.14,19513.63,Activo
33,OP-033,Ricardo,González,LIC-10033,E,2025-11-18,7226682698,operador33@logistol.com,80,21,73.75,21918.72,Activo
34,OP-034,Ricardo,García,LIC-10034,C,2021-06-04,7223361510,operador34@logistol.com,81,23,71.6,22172.42,Activo
35,OP-035,Ricardo,López,LIC-10035,E,2025-01-23,7227667458,operador35@logistol.com,80,22,72.5,22495.94,Activo
36,OP-036,Paola,Morales,LIC-10036,E,2023-01-20,7222515030,operador36@logistol.com,84,22,73.81,21196.94,Activo
37,OP-037,Ricardo,Rodríguez,LIC-10037,B,2022-06-26,7223073474,operador37@logistol.com,82,19,76.83,21441.41,Activo
38,OP-038,Fernanda,Pérez,LIC-10038,E,2025-03-14,7225398338,operador38@logistol.com,78,23,70.51,22281.22,Activo
39,OP-039,Andrea,Rodríguez,LIC-10039,E,2023-01-31,7222817745,operador39@logistol.com,88,24,72.73,27014.7,Activo
40,OP-040,José,López,LIC-10040,C,2021-02-21,7226503032,operador40@logistol.com,80,33,58.75,21947.65,Activo
41,OP-041,Diego,Torres,LIC-10041,B,2024-08-19,7222060605,operador41@logistol.com,76,26,65.79,24001.82,Activo
42,OP-042,José,Cruz,LIC-10042,C,2024-12-06,7226069909,operador42@logistol.com,100,24,76.0,28022.97,Activo
43,OP-043,José,Rodríguez,LIC-10043,B,2021-10-14,7221760793,operador43@logistol.com,101,25,75.25,27882.7,Activo
44,OP-044,Carlos,González,LIC-10044,C,2021-08-26,7222630611,operador44@logistol.com,76,14,81.58,21954.82,Activo
45,OP-045,Sofía,Reyes,LIC-10045,E,2021-10-05,7227520395,operador45@logistol.com,71,17,76.06,17032.64,Activo
46,OP-046,Fernanda,Pérez,LIC-10046,E,2025-03-02,7228031780,operador46@logistol.com,72,20,72.22,21210.4,Activo
47,OP-047,Andrea,Rivera,LIC-10047,E,2021-11-13,7227960607,operador47@logistol.com,82,26,68.29,21982.26,Activo
48,OP-048,José,García,LIC-10048,C,2024-06-14,7227847048,operador48@logistol.com,83,33,60.24,25180.53,Activo
49,OP-049,Daniel,Hernández,LIC-10049,E,2023-01-29,7224645180,operador49@logistol.com,92,25,72.83,24551.99,Activo
50,OP-050,Fernanda,Sánchez,LIC-10050,B,2025-10-18,7227084862,operador50@logistol.com,89,27,69.66,25299.54,Activo
51,OP-051,Ana,Flores,LIC-10051,C,2024-01-21,7227017548,operador51@logistol.com,108,26,75.93,31431.26,Activo
52,OP-052,Carlos,Rodríguez,LIC-10052,C,2022-01-24,7223049499,operador52@logistol.com,101,30,70.3,24548.28,Activo
