id_operador,numero_empleado,nombre,apellido,licencia,tipo_licencia,fecha_ingreso,telefono,correo,entregas_realizadas,entregas_tardias,porcentaje_puntualidad,kilometros_recorridos,estatus
1,OP-001,Carlos,Pérez,LIC-10001,B,2022-08-24,7227014016,operador1@logistol.com,0,0,0,0,Activo
2,OP-002,María,Rodríguez,LIC-10002,B,2022-05-16,7229911492,operador2@logistol.com,0,0,0,0,Activo
3,OP-003,Jorge,Torres,LIC-10003,E,2025-06-12,7224020853,operador3@logistol.com,0,0,0,0,Activo
4,OP-004,Luis,Martínez,LIC-10004,B,2024-06-02,7227418028,operador4@logistol.com,0,0,0,0,Activo
5,OP-005,Andrea,Flores,LIC-10005,B,2023-10-17,7223401116,operador5@logistol.com,0,0,0,0,Activo
6,OP-006,Sofía,Sánchez,LIC-10006,E,2022-06-05,7228710313,operador6@logistol.com,0,0,0,0,Activo
7,OP-007,Daniel,Flores,LIC-10007,B,2025-07-06,7228805654,operador7@logistol.com,0,0,0,0,Activo
8,OP-008,Diego,González,LIC-10008,E,2024-01-25,7223650391,operador8@logistol.com,0,0,0,0,Activo
9,OP-009,Ana,Sánchez,LIC-10009,C,2024-04-18,7226018975,operador9@logistol.com,0,0,0,0,Activo
10,OP-010,José,Rodríguez,LIC-10010,E,2022-05-28,7228664433,operador10@logistol.com,0,0,0,0,Activo
11,OP-011,Paola,González,LIC-10011,B,2023-02-27,7229106886,operador11@logistol.com,0,0,0,0,Activo
12,OP-012,Ana,López,LIC-10012,C,2024-03-17,7227022335,operador12@logistol.com,0,0,0,0,Activo
13,OP-013,Andrea,González,LIC-10013,E,2022-08-28,7221368085,operador13@logistol.com,0,0,0,0,Activo
14,OP-014,Paola,Flores,LIC-10014,C,2022-07-17,7221135861,operador14@logistol.com,0,0,0,0,Activo
15,OP-015,Andrea,Cruz,LIC-10015,E,2025-05-13,7221822825,operador15@logistol.com,0,0,0,0,Activo
16,OP-016,Diego,Torres,LIC-10016,E,2023-10-15,7225801541,operador16@logistol.com,0,0,0,0,Activo
17,OP-017,Ricardo,Morales,LIC-10017,B,2024-05-28,7226910964,operador17@logistol.com,0,0,0,0,Activo
18,OP-018,Sofía,Flores,LIC-10018,B,2024-06-25,7225204819,operador18@logistol.com,0,0,0,0,Activo
19,OP-019,José,Morales,LIC-10019,E,2025-04-21,7223294774,operador19@logistol.com,0,0,0,0,Activo
20,OP-020,José,García,LIC-10020,E,2024-08-16,7221661401,operador20@logistol.com,0,0,0,0,Activo
21,OP-021,Daniel,Morales,LIC-10021,C,2021-03-10,7227121355,operador21@logistol.com,0,0,0,0,Activo
22,OP-022,Laura,Martínez,LIC-10022,B,2022-08-28,7226481437,operador22@logistol.com,0,0,0,0,Activo
23,OP-023,Laura,Rodríguez,LIC-10023,B,2022-02-16,7223217273,operador23@logistol.com,0,0,0,0,Activo
24,OP-024,Ricardo,Ramírez,LIC-10024,C,2023-12-24,7229418719,operador24@logistol.com,0,0,0,0,Activo
25,OP-025,Diego,González,LIC-10025,B,2022-06-11,7229084065,operador25@logistol.com,0,0,0,0,Activo
26,OP-026,Ricardo,González,LIC-10026,E,2025-11-18,7226682698,operador26@logistol.com,0,0,0,0,Activo
27,OP-027,Ricardo,García,LIC-10027,C,2021-06-04,7223361510,operador27@logistol.com,0,0,0,0,Activo
28,OP-028,Ricardo,López,LIC-10028,E,2025-01-23,7227667458,operador28@logistol.com,0,0,0,0,Activo
29,OP-029,Paola,Morales,LIC-10029,E,2023-01-20,7222515030,operador29@logistol.com,0,0,0,0,Activo
30,OP-030,Ricardo,Rodríguez,LIC-10030,B,2022-06-26,7223073474,operador30@logistol.com,0,0,0,0,Activo
31,OP-031,Fernanda,Pérez,LIC-10031,E,2025-03-14,7225398338,operador31@logistol.com,0,0,0,0,Activo
32,OP-032,Andrea,Rodríguez,LIC-10032,E,2023-01-31,7222817745,operador32@logistol.com,0,0,0,0,Activo
33,OP-033,José,López,LIC-10033,C,2021-02-21,7226503032,operador33@logistol.com,0,0,0,0,Activo
34,OP-034,Diego,Torres,LIC-10034,B,2024-08-19,7222060605,operador34@logistol.com,0,0,0,0,Activo
35,OP-035,José,Cruz,LIC-10035,C,2024-12-06,7226069909,operador35@logistol.com,0,0,0,0,Activo
36,OP-036,José,Rodríguez,LIC-10036,B,2021-10-14,7221760793,operador36@logistol.com,0,0,0,0,Activo
37,OP-037,Carlos,González,LIC-10037,C,2021-08-26,7222630611,operador37@logistol.com,0,0,0,0,Activo
38,OP-038,Sofía,Reyes,LIC-10038,E,2021-10-05,7227520395,operador38@logistol.com,0,0,0,0,Activo
39,OP-039,Fernanda,Pérez,LIC-10039,E,2025-03-02,7228031780,operador39@logistol.com,0,0,0,0,Activo
40,OP-040,Andrea,Rivera,LIC-10040,E,2021-11-13,7227960607,operador40@logistol.com,0,0,0,0,Activo
41,OP-041,José,García,LIC-10041,C,2024-06-14,7227847048,operador41@logistol.com,0,0,0,0,Activo
42,OP-042,Daniel,Hernández,LIC-10042,E,2023-01-29,7224645180,operador42@logistol.com,0,0,0,0,Activo
43,OP-043,Fernanda,Sánchez,LIC-10043,B,2025-10-18,7227084862,operador43@logistol.com,0,0,0,0,Activo
44,OP-044,Ana,Flores,LIC-10044,C,2024-01-21,7227017548,operador44@logistol.com,0,0,0,0,Activo
45,OP-045,Carlos,Rodríguez,LIC-10045,C,2022-01-24,7223049499,operador45@logistol.com,0,0,0,0,Activo
46,OP-046,Paola,Cruz,LIC-10046,C,2021-07-07,7224558545,operador46@logistol.com,0,0,0,0,Activo
47,OP-047,José,Flores,LIC-10047,E,2021-02-13,7221848566,operador47@logistol.com,0,0,0,0,Activo
48,OP-048,Ricardo,Pérez,LIC-10048,B,2021-09-15,7224442778,operador48@logistol.com,0,0,0,0,Activo
49,OP-049,Ana,Cruz,LIC-10049,E,2022-03-01,7224623062,operador49@logistol.com,0,0,0,0,Activo
50,OP-050,Paola,Cruz,LIC-10050,B,2022-11-04,7223475548,operador50@logistol.com,0,0,0,0,Activo
51,OP-051,Ricardo,Reyes,LIC-10051,E,2021-01-06,7225651899,operador51@logistol.com,0,0,0,0,Activo
52,OP-052,Paola,Martínez,LIC-10052,B,2024-01-12,7225205279,operador52@logistol.com,0,0,0,0,Activo
53,OP-053,Ricardo,Martínez,LIC-10053,B,2024-09-15,7221432519,operador53@logistol.com,0,0,0,0,Activo
54,OP-054,Luis,Hernández,LIC-10054,C,2025-06-06,7224991829,operador54@logistol.com,0,0,0,0,Activo
55,OP-055,Andrea,Pérez,LIC-10055,B,2021-12-23,7225452128,operador55@logistol.com,0,0,0,0,Activo
56,OP-056,Carlos,Martínez,LIC-10056,E,2023-05-13,7229826250,operador56@logistol.com,0,0,0,0,Activo
57,OP-057,Ana,Rivera,LIC-10057,B,2023-09-03,7228520810,operador57@logistol.com,0,0,0,0,Activo
58,OP-058,Ricardo,Pérez,LIC-10058,E,2024-04-30,7222829622,operador58@logistol.com,0,0,0,0,Activo
59,OP-059,Fernanda,Ramírez,LIC-10059,B,2024-06-13,7221727544,operador59@logistol.com,0,0,0,0,Activo
60,OP-060,Laura,Morales,LIC-10060,E,2023-12-04,7226060517,operador60@logistol.com,0,0,0,0,Activo
